#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0002131627,1237648704040403114,18.00292,18.41894,18.00202,18.04402,1.960567,0.9723193,2.254303,-1.120483,-1.472226,-1.477189,-0.007903977,-0.006202815,6.92678,6,6
STAR,2.613779E-05,1237648704040468615,17.63206,18.00469,17.5985,17.63351,1.652245,0.8207477,1.92435,-25.82088,-2.742338,-2.464656,-2.968639E-05,-0.03417964,4.852919,6,6
STAR,2.587797E-05,1237648702969151802,20.65219,21.00385,20.64408,20.76805,1.50585,0.7296144,1.424747,-0.489308,-0.7617753,-0.7693992,-0.06530247,0.06330289,4.5589,6,6
STAR,-6.497866E-05,1237648702968954927,15.89104,16.24178,15.89541,15.93251,1.429933,0.7226385,1.606,-136.1275,-133.7379,-133.7903,-0.1308451,-0.0223786,4.029002,6,6
STAR,-0.0001657693,1237648702968889406,16.08336,16.43984,16.05634,16.09811,1.492695,0.7474427,1.750634,-260.017,-211.2058,-213.2392,-0.06327432,-0.04163265,4.096953,6,6
STAR,0.0002102528,1237648702968823846,14.25099,14.61292,14.24954,14.28951,1.51008,0.7579566,1.710411,-1676.095,-1614.925,-1615.299,-0.05944346,-0.01444374,4.352226,6,6
STAR,-0.0002176466,1237648702968692916,20.84518,21.19193,20.81276,20.7628,1.741454,0.8831286,2.325216,-0.3037044,-0.4105876,-0.407337,0.0149013,0.01241251,5.222638,6,6
STAR,0.0003190074,1237648702968627482,20.57908,20.93645,20.54945,20.66735,1.654823,0.7551677,1.494754,-0.3575877,-0.361605,-0.3653935,-0.02030118,0.1169561,4.73595,6,6
STAR,0.0002122445,1237648702967971976,18.92027,19.29059,18.91187,18.93132,1.759363,0.8653985,1.977637,-1.286495,-1.370107,-1.34892,-0.09814945,-0.001773221,5.543714,6,6
STAR,-6.533068E-05,1237648702966595703,17.98759,18.41808,17.99879,18.02715,2.06319,1.023866,2.427122,-0.4645622,-0.7012286,-0.7005991,0.02022734,-0.005754045,7.466897,6,6
STAR,6.962553E-05,1237648702966530275,17.78526,18.22586,17.78675,17.81639,2.161715,1.062079,2.506698,-0.05072454,-0.07312333,-0.07305758,-0.01082515,-0.01740771,7.900177,6,6
STAR,0.0002098665,1237648702966399072,17.60392,18.02404,17.60084,17.63442,1.91035,0.9330949,2.208624,-7.47806,-4.613264,-4.589614,-0.002808979,-0.02598787,6.126145,6,6
STAR,-6.569932E-05,1237648675604267156,16.37264,16.70732,16.37893,16.42748,1.362709,0.7060754,1.522716,-5.522763,-7.133518,-7.127853,-0.2073319,-0.02005234,4.089995,6,6
STAR,7.06943E-05,1237648675069101219,20.44027,20.6756,20.31769,20.39491,1.274331,0.6774484,1.383632,-7.368923,-4.088303,-3.307307,-0.07465329,-0.1281402,3.925968,6,3
STAR,0.0003231434,1237648674533933310,17.59344,17.91208,17.59646,17.65573,1.057391,0.5487743,1.167182,-1.213612,-1.664695,-1.67364,-0.1802707,-0.02863942,2.368673,6,6
STAR,0.0003202514,1237648704040534133,18.1402,18.50374,18.1353,18.17736,1.509848,0.7450274,1.681323,-0.4540818,-0.06150868,-0.06200965,-0.01891651,-0.01373263,4.182939,6,6
STAR,-0.000457602,1237648672924041889,18.42155,18.75198,18.42498,18.48062,1.16061,0.5840002,1.283418,-1.026907,-0.9744881,-0.9754281,-0.1120919,0.02085542,2.662395,6,6
STAR,-0.0001133183,1237648672922927341,20.21452,20.37221,20.18459,20.27709,1.175087,0.576188,1.210997,-0.8605027,-1.077313,-1.077574,-0.1054975,-0.007444091,2.614081,6,6
STAR,0.0003181517,1237646798138376335,20.13017,20.4631,20.12323,20.22478,1.160756,0.6239536,1.211074,-4.014009,-4.790488,-4.820754,-0.2449722,-0.1649476,3.36803,6,6
STAR,-3.093439E-05,1237648704040992948,16.90663,17.28524,16.89279,16.9376,1.635095,0.809494,1.851048,-26.04839,-14.13902,-13.94712,-0.03834121,-0.04587417,4.885787,6,6
STAR,0.0003146027,1237648704577273970,18.15997,18.57394,18.15486,18.18792,1.912794,0.9450945,2.229478,-0.3257686,-0.2695097,-0.2683786,-0.05639378,-6.989398E-05,6.452332,6,6
STAR,0.0003148482,1237648704577274016,17.36214,17.78672,17.37028,17.41603,1.808094,0.8847234,2.080052,-4.75738,-5.068929,-5.08733,-0.02236052,0.01672651,5.591461,6,6
STAR,-3.13569E-05,1237648704583434335,16.33533,16.67607,16.34513,16.40016,1.133783,0.5845231,1.288745,-5.795111,-6.587816,-5.949631,-0.1351599,-0.06262538,2.523592,6,6
STAR,0.0003186907,1237646795992072754,19.41319,19.74998,19.4107,19.50795,1.186775,0.6052736,1.199866,-0.1895894,-0.3059384,-0.3060533,-0.135029,0.08179935,3.121776,6,6
STAR,0.0003232597,1237648704041189528,17.66937,18.05712,17.66864,17.71781,1.699075,0.8412047,1.899538,-1.502761,-1.68389,-1.678921,-0.05995314,0.02370486,5.328934,6,6
STAR,7.140179E-05,1237646794381329615,17.04921,17.292,17.019,17.04743,1.305233,0.6755627,1.532607,-317.3749,-274.5279,-268.7321,-0.3601271,-0.2556162,3.756274,6,6
STAR,-0.0002174677,1237648704041255041,19.08673,19.46829,19.07885,19.13557,1.644733,0.8362604,1.836687,-0.006304953,-0.01297449,-0.01290894,-0.02512038,0.0217916,5.368204,6,6
