#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,7.130253E-05,1237648721234231346,17.22308,17.54922,17.23292,17.27956,1.163693,0.5965365,1.28726,-2.454638,-2.470242,-2.436265,-0.1198149,-0.04824724,2.728707,6,6
STAR,0.000121876,1237648721234624590,14.44502,14.76092,14.4281,14.47086,1.195284,0.6153573,1.358511,-710.3105,-613.8475,-616.0107,-0.06370448,-0.01281799,2.846999,6,6
STAR,-3.107914E-05,1237648721234755720,17.32583,17.65894,17.34422,17.38026,1.165453,0.6025171,1.326015,-1.570753,-2.423497,-2.425252,-0.09591182,-0.0397591,2.754479,6,6
STAR,-0.000308766,1237648721234952300,19.68697,20.02385,19.66052,19.69593,1.435863,0.7181206,1.642386,-0.06401554,-0.04978519,-0.04969765,-0.04511071,-0.04327961,3.876168,6,6
STAR,-6.583774E-05,1237646587714209101,19.9614,20.2945,19.97363,20.0492,1.109969,0.5553412,1.15575,-0.9246353,-1.223152,-1.224709,-0.2564024,-0.1892595,2.418093,6,6
STAR,0.0001217342,1237648721236983863,16.8357,17.17409,16.83622,16.88066,1.366763,0.6985209,1.52685,-1.085837,-1.646412,-1.648542,-0.04179387,-0.06789251,3.828931,6,6
STAR,-0.000217915,1237648720689037588,20.86595,21.24206,20.84747,20.97116,1.142974,0.6024325,1.462535,-0.5352727,-0.730256,-0.7272953,-0.1840264,-0.03766996,2.98585,6,6
STAR,0.000323595,1237648721238163482,15.82281,16.1742,15.81783,15.86121,1.528045,0.771094,1.699067,-43.43056,-43.29219,-43.31163,-0.04415851,-0.03476276,4.648928,6,6
STAR,-6.607024E-05,1237648721238425695,17.63485,17.98852,17.64196,17.69221,1.465293,0.7487378,1.619468,-0.1685215,-0.230295,-0.2305762,-0.04150743,-0.08017954,4.418507,6,6
STAR,2.657529E-05,1237648721238491144,16.05133,16.39037,16.04003,16.07969,1.494764,0.7529689,1.651597,-27.85743,-17.24512,-17.22036,-0.06496072,-0.06760402,4.443641,6,6
STAR,0.0002159122,1237648721238491243,17.89437,18.23258,17.88125,17.92806,1.442652,0.7376544,1.594108,-7.695331,-1.067148,-1.017296,-0.05339294,-0.106755,4.298747,6,6
STAR,7.129202E-05,1237648721238622241,16.29223,16.63061,16.27839,16.31768,1.441272,0.7266881,1.617191,-24.75988,-11.46048,-11.29111,-0.06723101,-0.04786203,4.058684,6,6
STAR,2.636413E-05,1237648721243603315,21.05954,21.41358,21.05897,21.19922,1.134418,0.573734,1.10842,-0.1386093,-0.2180712,-0.2180373,-0.05561597,-0.1443838,2.785293,6,6
STAR,7.090791E-05,1237648721248911676,19.4264,19.76513,19.43508,19.48701,1.298786,0.6656129,1.475529,-0.004932097,-0.01234284,-0.01239633,-0.09897041,-0.06655498,3.517369,6,6
STAR,0.0001217121,1237648721249173551,15.3237,15.63822,15.31795,15.35768,1.302989,0.6712803,1.442164,-120.8092,-113.0307,-113.3049,-0.06383485,-0.07380727,3.628255,6,6
STAR,0.0003144942,1237648722286673934,17.32946,17.68407,17.34365,17.39648,1.470922,0.7430063,1.635763,-3.532835,-4.321791,-4.32091,-0.08521192,-0.02034676,4.34916,6,6
STAR,2.530514E-05,1237648721250419243,19.72329,20.02472,19.70871,19.75312,1.148718,0.6245669,1.399209,-0.324893,-0.4615006,-0.4620441,-0.08205581,-0.04471466,3.251082,6,6
STAR,0.0003191646,1237648705667334346,18.9701,19.27932,18.962,19.01514,1.268682,0.658111,1.343244,-0.01889981,-0.03697862,-0.03761381,-0.1412448,0.004982197,3.612367,6,6
STAR,0.000213643,1237648721250484266,17.23376,17.53071,17.22764,17.26623,1.153129,0.6025183,1.275099,-2.963749,-2.553213,-2.54079,-0.04085827,-0.04733196,2.898058,6,6
STAR,-0.0006784384,1237648721250615712,20.59193,21.33952,20.6923,23.69126,1.01888,0.1319111,0.1650678,-742.9449,-748.824,-748.8259,-0.05219333,0.05282179,2.350253,6,6
STAR,-0.0002147418,1237648721250746714,21.32578,21.60356,21.23059,21.16646,1.586658,0.7668521,2.032424,-0.0886535,-0.1108361,-0.09475786,-0.02847539,-0.1873088,3.900664,6,6
STAR,-0.0004549193,1237648721251008546,17.94356,16.72033,17.81039,17.80211,1.435215,0.730792,1.748026,-238.1807,-66.9114,-46.60404,-0.01450058,-0.03168106,3.852573,6,6
