#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0003372148,1237648721769988110,17.35884,17.69178,17.36793,17.42443,1.127659,0.5820677,1.266516,-0.4124481,-0.7422851,-0.7423809,-0.1188771,-0.01020039,2.573884,6,6
STAR,-4.90153E-05,1237648721771102279,17.34059,17.65834,17.33039,17.38038,1.156042,0.5974841,1.305748,-1.221299,-1.013186,-1.019953,-0.1332795,-0.03345011,2.720555,6,6
STAR,-4.939166E-05,1237648721223745571,17.72146,18.03496,17.71234,17.76465,1.165225,0.595865,1.298112,-0.862745,-0.7314606,-0.7321461,-0.07950887,-0.06323887,2.704665,6,6
STAR,7.968549E-05,1237648722816795826,21.49491,21.83558,21.46659,21.64174,1.119703,0.588577,0.9467914,-1.63393,-2.114204,-2.136676,-0.1901252,-0.01221795,3.219133,6,6
STAR,0.000235631,1237648722816860716,19.09209,19.38648,19.08805,19.15273,1.247948,0.6355118,1.268617,-0.1226,-0.2047054,-0.2048801,-0.193461,-0.04384521,3.37826,6,6
STAR,0.000235302,1237646586639418183,19.40594,19.76365,19.42524,19.49125,1.036536,0.507987,1.156,-1.577508,-2.320833,-2.325308,-0.05433004,-0.03255295,1.558901,6,6
STAR,0.0002385965,1237648721771692038,17.58815,17.92776,17.5817,17.63489,1.254139,0.6381059,1.410027,-2.329882,-1.760882,-1.789185,-0.08097512,-0.009873202,3.088676,6,6
STAR,0.0002375348,1237646586633060409,19.98355,20.22589,19.94366,19.99119,0.9916925,0.480103,1.176221,-0.3427401,-0.2412211,-0.2408916,-0.1312864,-0.1107488,1.712539,6,6
STAR,-0.0004266195,1237648721784013087,18.45967,18.79738,18.45985,18.50834,1.377718,0.7004951,1.517125,-0.07332225,-0.1211063,-0.1212646,-0.08647968,-0.04884068,3.880616,6,6
STAR,0.0003306205,1237648721789125504,20.85898,21.08879,20.86868,20.96113,1.177185,0.6268936,1.316143,-0.2248705,-0.3754601,-0.3754611,-0.02191366,-0.05186507,3.281049,6,6
STAR,-0.0001992053,1237648721230889166,17.16283,17.50151,17.17777,17.22563,1.164408,0.5983379,1.313494,-0.351468,-0.44026,-0.4353297,-0.1071422,-0.03968053,2.705317,6,6
STAR,0.0003354468,1237648722279334553,19.24944,19.60036,19.24673,19.31479,1.299794,0.6459854,1.402361,-0.2145646,-0.3265507,-0.3263465,-0.1187917,-0.007353324,3.181585,6,6
STAR,0.0003419047,1237648722279727533,19.49392,19.78325,19.46152,19.50534,1.10387,0.5801231,1.279038,-0.7368844,-0.4909294,-0.4872288,-0.1443779,0.04907473,2.611302,6,6
STAR,7.925841E-05,1237648722279727616,16.63863,16.94996,16.6337,16.68243,1.070886,0.5486635,1.198596,-4.294844,-3.273575,-3.296718,-0.1183369,0.00755609,2.264171,6,6
STAR,0.0002378888,1237648722279989883,18.09575,18.42147,18.10236,18.15337,1.089099,0.5568536,1.209636,-1.07071,-1.643459,-1.64398,-0.1095566,-0.01808323,2.250269,6,6
STAR,0.0003417732,1237648722280120946,19.35855,19.66832,19.35613,19.45226,1.071058,0.5564396,1.093428,-0.2987024,-0.3573714,-0.357682,-0.2025173,-0.06774229,2.524806,6,6
STAR,0.0003310396,1237648722280186301,16.94759,17.25764,16.93672,16.99038,1.051041,0.5439308,1.182492,-1.142878,-1.485747,-1.505653,-0.1146247,-0.03645737,2.204286,6,6
STAR,3.900849E-05,1237648721233707082,16.87621,17.21654,16.88243,16.9297,1.241672,0.6340698,1.40404,-3.181612,-4.399669,-4.360919,-0.1243837,-0.05589269,3.04486,6,6
STAR,0.000328501,1237648722835210557,20.44857,20.71568,20.34966,20.3576,1.593113,0.7956478,1.785912,-1.288879,-0.38594,-0.3869827,-0.1908729,-0.118199,5.016652,6,6
STAR,0.0003352748,1237648722280514090,19.21312,19.53594,19.2233,19.29218,0.9889947,0.5073352,1.09228,-3.180841,-3.62309,-3.62629,-0.191994,0.001154993,1.981555,6,6
