#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,7.554018E-05,1237648704597066129,18.36733,18.67637,18.3722,18.4232,1.044902,0.5420513,1.139422,-0.1693666,-0.2900711,-0.2903235,-0.1066967,0.01604321,2.260598,6,6
STAR,-0.0002552213,1237648720162193868,21.53379,21.93916,21.536,21.71945,1.281093,0.6589206,1.335121,-0.07082576,-0.1523846,-0.1521828,0.0269536,0.09319784,3.744499,6,6
STAR,0.0001331698,1237648720163569715,17.28719,17.6532,17.28677,17.32204,1.803891,0.8947263,1.97493,-10.73404,-7.888924,-7.884804,-0.08909775,-0.07042656,6.214308,6,6
STAR,-4.305994E-05,1237648720164552734,16.11877,16.46108,16.13211,16.16497,1.426177,0.7241358,1.584409,-6.184038,-7.790104,-7.823801,-0.06965686,-0.06598316,4.139529,6,6
STAR,-0.0001217123,1237648720165142576,16.12399,16.44901,16.1327,16.17881,1.376881,0.6999534,1.507414,-51.63969,-49.14412,-49.02844,-0.1365393,-0.1047623,3.930746,6,6
STAR,-0.0002541261,1237648705121091696,18.58125,18.90914,18.56039,18.60242,1.313137,0.6709837,1.518034,-1.758608,-0.4620214,-0.4953396,-0.1114186,-0.01059055,3.436553,6,6
STAR,0.0005925479,1237648720149283038,18.09267,18.44122,18.07919,18.12213,1.453779,0.7350185,1.645751,-0.5534577,-0.111306,-0.1103696,-0.09812374,-0.06445141,4.136819,6,6
STAR,0.0001320669,1237648705653637161,15.40659,15.7461,15.40128,15.44713,1.644892,0.8440319,1.802281,-98.88728,-99.87333,-100.009,-0.1325953,0.005002587,5.916574,6,6
STAR,0.0001337312,1237648720680583198,17.47926,17.82026,17.47212,17.52182,1.268796,0.6426587,1.447606,-0.1123608,-0.04821833,-0.04848158,0.005247274,-0.0588543,3.093787,6,6
STAR,-4.090062E-06,1237648704045056338,20.50959,20.84972,20.49252,20.5657,1.26436,0.6103389,1.33587,-0.343091,-0.4757875,-0.4706474,-0.04577773,-0.04608802,2.770015,6,6
STAR,0.0005778821,1237648720680583512,20.7195,21.06722,20.66292,20.77953,1.278967,0.6419427,1.403708,-0.08864018,-0.06220691,-0.04873937,-0.04528093,-0.2200917,3.276398,6,6
STAR,0.0005618416,1237648720165929036,17.14694,17.49805,17.14537,17.18505,1.559813,0.7711347,1.707114,-2.850186,-3.696613,-3.508591,-0.06326799,-0.05156504,4.634974,6,6
STAR,0.0001313978,1237648705664910169,19.95513,20.40741,19.8323,19.80477,2.606897,1.23194,2.849019,-2.531064,-1.431334,-1.066145,-0.06416562,-0.005831796,8.803902,6,6
