#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.004063707,1237655125547155483,18.07218,17.97128,15.88874,16.16271,7.21794,3.22578,9.038954,-24054.3,-1174.303,-684.4869,0.3198377,0.3309861,42.22512,3,3
GALAXY,0.03168052,1237654950524420436,20.32747,20.29686,17.70058,17.77896,18.01774,4.638441,9.262771,-2094.063,-20.82018,-126.8248,0.3328611,-0.4552979,181.3471,3,3
GALAXY,0.03176554,1237654605854736619,19.14413,19.10795,16.58111,16.96767,9.964749,4.292597,10.99674,-8130.708,-447.0126,-175.6112,-0.08045056,-0.04317924,58.40705,3,3
GALAXY,0.03172292,1237655126078914727,19.19732,19.0765,16.94235,17.291,7.762326,3.363062,8.908959,-5886.285,-305.6888,-155.9447,0.6166778,0.3036909,57.77467,3,3
GALAXY,0.03257975,1237654952133591252,17.83859,17.72963,15.96267,15.94027,7.224433,3.316085,8.402092,-33663.38,-1149.182,-2414.733,0.6764027,-0.4841217,82.20682,3,3
GALAXY,0.0462383,1237655126083305582,18.25957,18.18863,16.32211,16.24256,7.020772,3.36673,8.904113,-23455.81,-407.509,-1471.032,0.270094,0.5282257,68.31015,3,3
GALAXY,0.04623098,1237655126084943934,19.35981,19.29987,17.77222,17.82178,5.034277,2.303687,4.976579,-3739.275,-12.31816,-388.4134,0.7071978,0.09979754,51.98624,3,3
GALAXY,0.0462839,1237654606402617381,16.75066,16.78144,15.57719,15.68105,4.190253,1.810678,5.180447,-32356.82,-5154.278,-288.0156,0.2011491,-0.1509465,11.74448,3,3
GALAXY,0.03186863,1237652900765827216,17.29854,17.3823,16.06118,16.19206,4.396622,1.971071,4.959591,-19193.18,-1733.618,-420.2432,0.092889,-0.08924119,15.92172,3,3
GALAXY,0.03254931,1237654953207791908,21.09697,19.50616,20.89532,21.01257,1.30674,0.6656423,1.179684,-0.1121407,-6.238299E-08,-3.250018E-05,0.03320168,0.107927,4.217078,3,6
GALAXY,0.03168765,1237655126614016061,18.54859,18.79097,17.85599,17.96767,2.996826,1.450812,3.563172,-1425.807,-27.45479,-9.556612,0.02800176,0.158437,13.65563,3,3
GALAXY,0.0462562,1237654385732157585,18.36851,18.44237,15.71425,15.75289,12.13674,5.403172,12.32215,-37342.75,-484.9493,-5543.144,-0.7329347,-0.3772129,308.7649,3,3
GALAXY,0.04600701,1237655126619652182,19.32337,19.1937,16.66648,16.74403,8.734725,4.180584,8.19529,-11901.53,-79.36886,-1519.125,0.1015581,-0.1161332,136.1961,3,3
GALAXY,0.002490401,1237655126620307540,18.8892,18.79782,16.16452,16.60056,9.810987,4.436856,11.25263,-12202.29,-728.3057,-384.4799,-0.1940699,-0.3627922,75.78641,3,3
GALAXY,0.04614124,1237654953211658874,17.9354,17.71851,14.92841,15.20134,14.17878,6.293551,16.30526,-58296.78,-5002.019,-3173.724,-0.626954,0.2724317,120.8602,3,3
GALAXY,0.04601353,1237654606946762862,19.83841,19.49946,17.46602,17.50065,7.587926,3.439923,7.753906,-5587.702,-57.42144,-628.4495,0.6240689,0.5960795,127.3736,3,3
GALAXY,0.003151063,1237654953742303628,21.58777,19.70594,21.16723,21.30151,1.398682,0.7513602,1.275363,-0.03587759,-2.529998E-11,-1.970706E-07,-0.2533258,0.0845658,5.661599,3,3
GALAXY,0.04617393,1237655128759730302,17.31646,17.38512,14.91229,15.14213,10.75708,4.829496,14.43278,-55072.44,-4699.056,-1262.259,-0.4241681,-0.02962223,69.96299,3,3
GALAXY,0.003366727,1237654399153405992,20.76232,18.64675,20.32832,20.46985,1.543612,0.8147302,1.451832,-15.19212,-0.0001936703,-0.05158579,0.3817672,-0.2643309,6.91691,3,3
GALAXY,0.03198112,1237655128767267166,17.47478,17.63327,16.43294,16.51733,4.222729,1.895458,5.525674,-11639.85,-1788.275,-1.378928,0.1166692,-0.004529255,14.26637,3,3
GALAXY,0.0461948,1237654399167496278,16.28316,16.46565,14.44827,14.53818,12.06322,4.802019,15.39965,-81424.17,-24999.1,-1427.316,-0.1730705,0.05208394,24.31098,3,3
GALAXY,0.001674416,1237654652570501227,19.89715,19.63372,15.31179,15.33493,30.18993,13.05208,32.77769,-20703.99,-761.24,-6381.829,0.7902406,0.4594912,2608.826,3,3
GALAXY,0.03205142,1237655128767398134,16.86447,17.0026,15.76418,15.86765,4.258096,1.897054,5.45401,-24445.52,-3989.654,-93.38973,0.1400105,0.02827426,14.39001,3,3
GALAXY,0.04623349,1237655106761785480,19.41294,19.34669,17.10501,17.07481,9.590384,4.207729,9.166135,-7670.701,-108.4547,-432.1772,-0.009541322,-0.01595881,93.26616,3,3
GALAXY,0.04638395,1237655128772051452,19.3384,18.86763,17.20698,17.24125,5.47779,2.563558,5.640412,-9642.574,-118.7928,-1057.104,-0.4973862,-0.0013765,54.06227,3,3
GALAXY,0.03254054,1237655106763358235,16.42579,16.54523,14.33917,14.54105,7.948937,4.049332,11.64343,-86339.88,-14616.77,-3500.998,0.05938017,0.1180185,56.61515,3,3
GALAXY,0.04626973,1237654400765526079,18.24579,18.1675,15.89996,15.87821,8.270131,4.182346,8.377811,-39110.24,-2394.517,-5735.616,0.3665771,-0.1774423,117.3583,3,3
GALAXY,0.04627896,1237654599955447925,19.32129,19.27766,17.70326,17.72671,5.188585,2.465316,5.889007,-4905.536,-140.6271,-558.847,0.301325,0.4522527,52.74926,3,3
GALAXY,0.04622715,1237654599955447945,18.62931,18.61453,17.15662,17.1127,5.175027,2.434031,5.837958,-10348.82,-80.34781,-715.6406,0.1646843,-0.488227,40.92636,3,3
GALAXY,0.03232697,1237654653105668262,18.4287,18.38222,16.39428,16.66167,6.858893,3.056585,8.570088,-15065.31,-754.4692,-280.7939,-0.1901833,0.3102939,35.18495,3,3
GALAXY,0.03249452,1237655106766372898,16.89131,16.90518,15.38187,15.35053,5.321077,2.512341,6.55922,-52903.72,-1790.936,-3349.36,0.1403386,0.04057699,35.2233,3,3
GALAXY,0.03249042,1237655129842516252,17.41939,17.27714,15.62931,15.61305,6.045712,2.793055,6.747887,-42718.76,-963.3895,-4283.962,-0.6550483,-0.2129219,54.80395,3,3
GALAXY,0.0460423,1237654600487665688,17.86969,17.74481,14.91929,14.93796,11.47331,5.560935,11.70546,-74469.05,-1040.037,-11550.75,-0.04927875,0.1586176,200.5992,3,3
GALAXY,0.03238463,1237655130375454752,17.62006,17.64089,15.52162,15.71158,9.98668,4.30216,10.74258,-34592.75,-6148.338,-1514.303,-0.2385419,-0.2059434,24.27586,3,3
GALAXY,0.03170261,1237655347820888252,16.72019,16.74309,15.30797,15.41123,5.117875,2.288068,7.432526,-43808.73,-8709.26,-908.6157,0.125355,0.1968074,17.72739,3,3
GALAXY,0.03180367,1237654668662866042,19.3084,19.12218,16.59029,16.6364,9.082397,4.402974,8.866178,-11857.59,-482.1283,-1604.298,-0.0329168,-0.08690562,138.8893,3,3
GALAXY,0.03176129,1237654668662931538,18.88446,18.62082,16.68287,16.67853,6.673751,3.130895,7.275193,-12642.57,-78.4932,-1719.148,0.7362231,0.05948744,87.10311,3,3
GALAXY,0.04642726,1237655107833430050,16.68249,16.76677,15.16202,15.21214,8.139063,3.209355,10.11079,-48554.83,-13367.22,-1206.075,-0.1416437,0.08173656,14.12666,3,3
GALAXY,0.04646629,1237655348358611074,20.05131,19.75919,16.84823,16.86975,13.56983,6.144696,11.63295,-6408.105,-206.2131,-653.3953,0.252208,0.08264657,248.5051,3,3
GALAXY,0.04626742,1237655107833888984,18.96268,18.76237,15.97954,16.00855,11.25038,5.82856,11.01179,-27461.11,-1744.957,-3656.015,0.002772721,-0.1442578,246.5923,3,3
GALAXY,0.04618631,1237655107836051560,19.14212,18.9392,16.382,16.43539,9.885828,4.43151,10.09098,-19883.23,-152.6678,-2430.099,0.3325399,-0.574448,183.278,3,3
GALAXY,0.0322038,1237655107836510314,19.39193,19.20931,16.82867,16.87631,9.740539,4.308901,9.812826,-10175.65,-141.4797,-1060.589,0.7412189,-0.0263067,175.6168,3,3
GALAXY,0.03236276,1237655348894761186,19.12478,18.85391,17.02883,17.02803,6.456377,3.017249,6.871714,-12185.66,-126.7046,-934.358,0.2557201,-0.4068168,60.30947,3,3
GALAXY,0.03240973,1237655348895416346,18.44167,18.46008,17.52087,17.64072,2.827093,1.363135,3.493682,-3801.103,-166.3483,-35.55525,-0.2059089,0.0384157,10.91825,3,3
