#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.04625811,1237656971301945477,18.04506,17.76556,16.66965,16.78647,3.372369,1.455912,4.552279,-11432.31,-1621.31,-208.2899,-0.5099987,0.08336622,7.901035,3,3
GALAXY,0.04608535,1237656971302207605,21.53044,19.39542,21.07251,21.21253,1.211264,0.6025208,1.172645,-0.3122974,-1.331824E-11,-7.862342E-08,0.1404325,-0.3705817,3.601532,3,3
GALAXY,0.000103248,1237657069548994606,21.52384,20.21632,20.85286,20.97779,1.5042,0.7547393,1.315758,-13.58481,-1.686854E-05,-0.168292,-0.06500785,-0.0113581,5.608888,3,3
GALAXY,0.04632289,1237657613410369635,17.00261,17.03545,15.08483,15.15054,11.25623,4.671128,15.52091,-53098.33,-15523.06,-1191.424,0.05779574,-0.1266434,15.62377,3,3
GALAXY,-0.000281945,1237657117339484275,21.33318,20.54339,21.04728,21.14843,1.444947,0.6978002,1.313782,-0.1598063,-1.122958E-09,-1.688445E-06,0.002210398,0.1062865,4.348023,3,3
GALAXY,0.03200497,1237657117874454542,18.02356,17.80103,16.87587,16.84385,3.063486,1.46831,3.786161,-13803.74,-249.9562,-713.5167,0.1111459,-0.321872,13.83214,3,3
GALAXY,0.03200609,1237657190370181393,19.97616,19.4073,17.67205,17.94545,5.691551,2.365532,7.278599,-2603.049,-71.10944,-68.66041,0.257951,0.507646,21.80987,3,3
GALAXY,0.03226311,1237657190370246804,19.79623,19.00147,16.66095,16.67069,18.01941,4.124481,8.656364,-7855.429,-186.6033,-725.2374,-0.227041,-0.1715364,99.35226,3,3
GALAXY,0.004285419,1237657627916173760,20.52027,20.09103,17.57566,17.6015,9.132213,4.331795,10.09358,-2503.762,-0.9239277,-234.0925,-0.3049231,0.4138152,132.9009,3,3
GALAXY,0.03969209,1237652901824037070,19.09665,19.07422,16.97224,17.01585,7.239686,3.3841,6.849704,-7951.876,-93.18246,-859.8151,0.242379,0.1575046,85.65054,3,3
GALAXY,0.02374475,1237652901825347716,17.69785,17.76186,16.13375,16.10398,5.927493,2.730626,6.451931,-23550.92,-430.7252,-2809.29,-0.639576,0.3202557,58.38679,3,3
GALAXY,0.03984317,1237652901837144141,18.43026,18.23972,16.53244,16.48179,6.926657,3.069568,7.388041,-19218.39,-575.5118,-1147.654,0.6004015,0.2605835,60.06199,3,3
GALAXY,0.05266992,1237653008119694447,19.88728,19.37971,17.77294,17.79027,5.671411,2.507949,6.056599,-3081.979,-4.890677,-240.5364,-0.724426,0.1716107,55.19851,3,3
GALAXY,0.05274423,1237652933497324325,20.33128,19.93431,18.13878,18.23067,6.336144,2.861137,7.20071,-1407.645,-3.045829,-78.80085,-0.6289455,-0.6692812,115.0881,3,3
GALAXY,0.05252438,1237652934034719109,19.32889,18.83752,17.43552,17.41188,5.119628,2.258569,5.588065,-5394.519,-27.4873,-330.1665,-0.6335279,0.3761046,40.65447,3,3
GALAXY,0.03994382,1237653613184221338,18.23907,18.39871,17.24174,17.37685,3.741553,1.719214,4.066805,-4964.431,-200.8848,-167.9171,-0.2426777,0.334914,18.12688,3,3
GALAXY,0.0527187,1237652934573162912,17.93097,17.66434,16.47752,16.57578,3.936684,1.687731,5.148658,-13609.76,-2492.853,-324.0602,0.01657822,0.05994206,6.875896,3,3
GALAXY,0.03924561,1237654029251838134,18.10061,17.9817,14.97161,15.21437,19.69053,8.443203,25.42025,-38419.51,-3550.479,-661.9072,0.7326016,0.5330312,234.5766,3,3
GALAXY,0.05237299,1237652935110754364,18.57294,18.08147,17.30583,17.25012,2.591825,1.259335,3.306117,-7510.294,-91.98466,-426.7034,0.2553976,0.06651416,10.25098,3,3
GALAXY,0.03987537,1237654030325973054,18.04809,17.72313,14.68954,14.99379,15.05634,6.562676,14.99738,-65336.05,-7249.037,-6192.134,0.1969132,-0.04234303,115.406,3,3
GALAXY,0.03927553,1237652942096761246,20.70641,20.02097,17.71804,17.80065,9.627877,4.306217,11.16453,-1882.161,-1.83632,-151.962,-0.5872308,-0.7567164,253.899,3,3
GALAXY,0.03938494,1237652942096826693,18.76504,18.28612,16.40593,16.43727,7.319934,3.230784,7.832583,-19800.65,-300.542,-1992.966,0.03928049,0.8677145,103.1073,3,3
GALAXY,0.03973394,1237652942101348504,18.58362,18.28371,17.05999,17.27709,3.439616,1.553281,3.684792,-8354.129,-401.5972,-221.5948,0.01514099,0.05015516,10.45709,3,3
GALAXY,0.02420986,1237652942632124708,18.07719,17.47894,14.08657,14.07843,17.73408,8.327927,18.07792,-107545.2,-4256.246,-16289.53,0.2415023,-0.01724623,428.7942,3,3
GALAXY,0.03935371,1237651752931295292,18.97778,18.82027,17.28877,17.36632,4.526509,2.198553,4.355511,-7049.65,-62.17982,-940.1879,-0.383473,-0.2379846,44.3275,3,3
GALAXY,0.0399419,1237651752932213019,19.98693,19.70347,17.29921,17.35921,9.056811,4.158287,9.524692,-3994.693,-5.692164,-349.1202,0.5495721,-0.5273583,167.9799,3,3
GALAXY,0.02409322,1237651752932343944,19.051,18.73131,17.1978,17.19641,4.954062,2.342313,5.488886,-7227.538,-8.925043,-646.8368,0.04165291,-0.03845997,36.41756,3,3
GALAXY,0.039908,1237651752932606031,18.12413,17.89865,16.34403,16.28491,5.352189,2.620585,6.775382,-22177.13,-489.1472,-1015.158,0.002948558,-0.04484297,35.20583,3,3
GALAXY,0.04003886,1237652942633500856,18.03187,17.64573,15.90792,16.14534,6.119484,2.565055,6.13226,-27034.4,-2624.514,-1060.092,0.06260709,0.1817934,16.45931,3,3
GALAXY,0.05269837,1237652943166767250,19.88068,19.1112,16.83066,16.90688,6.520993,3.381307,6.330521,-9374.523,-196.9439,-1570.877,0.06209201,-0.04490345,96.36282,3,3
GALAXY,0.05257673,1237653614254883144,17.90851,17.96253,17.02627,17.06526,3.269127,1.404645,4.132714,-6567.522,-1472.381,-119.3601,-0.03626307,-0.08309811,6.968052,3,3
GALAXY,0.02396282,1237651753473933542,19.66448,19.47794,17.42952,17.78549,6.683032,2.958077,7.118954,-2324.765,-125.6515,-29.72144,-0.02574523,0.01574546,31.2639,3,3
GALAXY,0.03988089,1237652943169913361,20.54955,19.87002,18.06607,17.98882,8.558681,3.498241,7.939685,-1744.012,-31.94324,-33.90298,0.5263008,0.3794672,67.63892,3,3
GALAXY,0.03937067,1237652943171682504,17.06326,16.62398,14.75801,14.90541,7.8985,3.436732,10.95257,-70318.46,-13770.68,-147.962,0.06903458,-0.08969356,12.93209,3,3
GALAXY,0.02444406,1237652943700951370,18.68863,18.37358,14.71295,14.75328,16.6948,8.313618,16.99518,-63380.45,-1330.781,-10261.13,0.225314,0.2162186,550.686,3,3
GALAXY,0.03966731,1237652943708750090,19.31824,18.66273,16.61578,16.60222,8.019663,3.571969,8.262406,-15017.48,-155.4071,-1158.094,0.6113837,-0.218242,89.82998,3,3
GALAXY,0.02375588,1237651754022600952,18.63376,18.21242,15.04727,15.02647,17.60073,8.015182,18.04403,-49693.93,-1205.724,-3660.346,0.467468,-0.1357298,332.2591,3,3
GALAXY,0.02452611,1237652944237822329,17.43862,17.40123,15.98991,16.08422,5.57237,2.276827,7.057512,-20901.14,-3366.135,-58.48014,0.0834286,-0.07916703,13.41326,3,3
GALAXY,0.03976039,1237652944247193808,18.34889,18.147,16.70804,16.78329,5.750735,2.429998,7.215242,-10713.33,-2062.167,-105.9381,0.17795,-0.09164786,9.078995,3,3
GALAXY,0.05233203,1237652947457933394,18.59045,18.37159,17.25306,17.45057,3.063686,1.425282,3.48566,-5786.253,-171.5965,-140.3242,-0.3097456,0.2348288,11.60686,3,3
GALAXY,0.05251605,1237652947996639329,19.04055,18.54524,16.58768,16.62208,6.050695,2.996909,6.147717,-12246.17,-146.5189,-1792.134,0.1929831,-0.309574,73.39021,3,3
GALAXY,0.03992807,1237652943169650977,17.16645,16.95834,15.58259,15.66743,5.317599,2.222201,6.822711,-32924.16,-7130.966,-546.0799,0.1222851,-0.2806926,7.708667,3,3
GALAXY,0.03908767,1237653650763415704,19.84222,19.31579,17.72858,17.77515,4.836295,2.332277,4.699356,-3389.502,-4.813175,-387.0135,0.02825074,-0.0001668061,41.5652,3,3
GALAXY,0.03911074,1237651754562224218,18.73952,18.58145,17.34615,17.29555,4.137737,2.020832,4.978418,-7012.37,-71.39173,-448.5948,0.3485416,-0.04402438,26.89414,3,3
GALAXY,0.05254606,1237651754563076224,17.64707,17.80014,17.08023,17.12885,2.433067,1.141463,3.078459,-4121.688,-715.5598,-95.74504,-0.1269759,-0.1973228,7.88187,3,3
GALAXY,0.05240488,1237653441374519303,17.84101,17.9935,16.93025,17.03932,3.596612,1.613426,4.18811,-6321.678,-639.4612,-39.20831,0.02308302,-0.05054123,13.18472,3,3
GALAXY,0.02360279,1237651754564649124,19.25062,19.0626,16.73626,16.76073,9.650684,4.3125,9.654144,-9542.315,-152.0628,-683.1684,-0.2031174,0.5520321,143.625,3,3
GALAXY,0.05253431,1237651755077664871,17.76555,17.80264,15.47328,15.47769,10.02267,4.501693,10.44019,-41722.68,-1060.52,-4209.852,-0.09418008,-0.5520537,135.8381,3,3
GALAXY,0.03922009,1237653650766692372,17.42929,17.28039,15.87569,15.84014,4.593512,2.274919,5.626627,-36222.65,-677.1658,-2904.472,0.3480458,0.04069105,32.19773,3,3
GALAXY,0.05239342,1237653441374781544,17.57718,17.59715,15.59227,15.86162,7.135688,3.156076,8.149011,-33249.37,-2045.701,-1154.708,0.09027442,0.3328207,37.81157,3,3
GALAXY,0.0398582,1237651755080482966,17.46061,17.51769,16.12501,16.29807,4.614266,2.07033,5.291364,-17327.48,-1530.459,-443.4136,0.06536791,0.1099173,17.81863,3,3
GALAXY,0.03990639,1237651755091034296,19.04096,18.90274,17.47651,17.47931,5.333289,2.338212,5.608645,-6073.442,-105.2348,-535.6475,-0.2271845,-0.7861919,49.91682,3,3
GALAXY,0.05251642,1237651799625760848,18.24901,18.06716,15.03267,15.40681,14.23349,6.765573,15.30021,-35766.71,-4475.977,-2795.254,-0.2611919,-0.5005903,224.8206,3,3
GALAXY,0.05233405,1237651818953310570,18.69975,18.50088,17.25951,17.15882,4.701109,2.16309,5.474114,-9653.224,-229.3262,-561.767,0.408637,0.4539246,27.49517,3,3
GALAXY,0.03947097,1237653651839975718,20.27275,19.88608,17.23975,17.79969,18.01816,4.312451,8.622705,-2128.116,-82.62012,-82.08213,-0.7781969,0.1720842,111.6595,3,3
GALAXY,0.03960624,1237651821636092145,18.59369,18.60581,17.59808,17.72202,3.166429,1.431248,3.577804,-2799.928,-121.1938,-49.33191,-0.07658189,-0.1331003,11.09509,3,3
GALAXY,0.02394878,1237653472516309132,19.02886,19.16187,17.30688,17.36166,6.129802,2.885304,5.999809,-6800.495,-13.72532,-723.0534,-0.5066119,0.05774468,72.03326,3,3
GALAXY,0.03924782,1237653651841745014,18.94985,18.71461,17.24536,17.45945,4.618044,2.04253,5.780816,-5453.419,-347.0888,-36.73908,0.1972322,0.05488164,13.99154,3,3
