#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.03301752,1237651225709510667,16.43944,16.51321,14.98954,15.10107,6.278845,2.626311,7.564187,-54840.69,-11295.56,-1160.69,0.05764401,0.07755067,14.5333,3,3
GALAXY,0.03259742,1237651225709576647,17.87195,17.86516,16.7236,16.85397,3.501217,1.637581,4.248964,-12321.42,-507.9392,-250.4886,0.001232683,0.3672642,15.48595,3,3
GALAXY,0.03338844,1237649961383756141,20.26817,19.79394,17.2877,17.28392,9.252746,4.290111,11.12134,-2344.803,-6.062426,-243.1043,0.5729243,0.2173256,145.3208,3,3
GALAXY,0.005755536,1237651249893736496,18.38338,18.24216,16.22671,16.15653,8.367709,3.811524,9.153709,-27544.52,-960.0363,-1730.47,0.2110349,0.0230453,66.83794,3,3
GALAXY,0.03346369,1237649928093892688,18.87374,18.79891,17.29648,17.26532,5.346941,2.492522,6.198533,-6901.262,-31.24683,-471.2756,-0.7559872,0.002940707,50.36958,3,3
GALAXY,0.03318665,1237649920579403875,18.57355,18.53345,17.60239,17.5386,3.278525,1.608617,3.958501,-5580.889,-156.8323,-500.777,0.1072572,-0.4605412,17.99218,3,3
GALAXY,0.04680105,1237649919509594419,19.92218,19.62231,17.57858,17.48616,8.745614,3.853956,8.213829,-3941.119,-136.5277,-236.4229,-0.3772373,-0.3078085,70.40559,3,3
GALAXY,0.03307009,1237649919509201023,17.81735,17.9243,16.73903,16.74217,4.923946,2.044457,6.651238,-8707.904,-2503.533,-286.5626,-0.2198437,0.08826538,9.004655,3,3
GALAXY,0.03341215,1237651250942116321,20.13975,19.79573,16.97041,17.01335,12.08416,5.730775,10.90505,-4915.678,-148.0411,-505.6059,0.2356099,0.1784133,249.9486,3,3
GALAXY,0.006901911,1237651735777509640,18.5213,18.10106,14.33162,14.78138,20.31548,9.621671,24.42568,-55605.76,-3675.058,-2876.16,-0.0266545,0.276834,352.3461,3,3
