#MAG_U,MAGERR_U,MAG_G,MAGERR_G,MAG_R,MAGERR_R,MAG_I,MAGERR_I,MAG_Z,MAGERR_Z
23.409067153930664,1.8618040084838867,22.192777633666992,0.24660000205039978,21.00037384033203,0.10784900188446045,20.241989135742188,0.06610800325870514,19.755470275878906,0.06901399791240692
22.637638092041016,0.9148769974708557,22.66609001159668,0.3813450038433075,21.16136932373047,0.12508800625801086,20.20699119567871,0.06401100009679794,19.777687072753906,0.07044100016355515
23.318525314331055,1.7128419876098633,22.57978057861328,0.35220399498939514,20.97019386291504,0.10489299893379211,20.031373977661133,0.054450999945402145,19.5748233795166,0.05843599885702133
22.32728385925293,0.6874179840087891,22.4105224609375,0.301364004611969,20.95797348022461,0.10371900349855423,20.060565948486328,0.05593499913811684,19.61216163635254,0.06047999858856201
22.59468650817871,0.8793900012969971,22.790781021118164,0.4277540147304535,21.17794418334961,0.1270119994878769,20.275711059570312,0.06819300353527069,19.807064056396484,0.07237300276756287
24.740297317504883,6.344913005828857,22.744081497192383,0.409745991230011,21.203598022460938,0.13004900515079498,19.99555015563965,0.0526840016245842,19.458770751953125,0.05251200124621391
23.309986114501953,1.6994240283966064,22.873092651367188,0.4614439904689789,21.416736602783203,0.15825699269771576,20.492876052856445,0.08329299837350845,19.963186264038086,0.08356499671936035
21.76163101196289,0.40828099846839905,22.990976333618164,0.5143659710884094,21.551239013671875,0.1791280061006546,20.416696548461914,0.07764899730682373,19.936153411865234,0.08150999993085861
24.26446533203125,4.093484878540039,22.78764533996582,0.4265210032463074,20.997390747070312,0.10755299776792526,19.983186721801758,0.052087001502513885,19.462215423583984,0.052678998559713364
22.440664291381836,0.7630839943885803,22.388229370117188,0.29523900151252747,21.253929138183594,0.13621899485588074,20.457517623901367,0.08062399923801422,20.003448486328125,0.0867220014333725
22.928483963012695,1.1959160566329956,22.12205696105957,0.23104999959468842,20.55615234375,0.07163599878549576,19.7384090423584,0.04157400131225586,19.289043426513672,0.04491199925541878
22.785045623779297,1.0479120016098022,22.364009857177734,0.28872600197792053,21.062353134155273,0.11418499797582626,20.469839096069336,0.08154399693012238,19.9752197265625,0.08449599891901016
22.508831024169922,0.812529981136322,22.01176643371582,0.2087319940328598,20.907228469848633,0.09898299723863602,20.07322883605957,0.05659100040793419,19.67249870300293,0.06393600255250931
23.13336181640625,1.444280982017517,22.542726516723633,0.3403869867324829,20.902652740478516,0.09856600314378738,20.06118392944336,0.055966999381780624,19.583078384399414,0.05888200178742409
21.81478500366211,0.42876699566841125,20.601016998291016,0.056922998279333115,19.127511978149414,0.01921599917113781,18.555744171142578,0.013988000340759754,18.17183494567871,0.016049999743700027
23.84707260131836,2.7869949340820312,22.661951065063477,0.3798939883708954,21.015487670898438,0.10936100035905838,20.08561134338379,0.05724000185728073,19.647275924682617,0.06246799975633621
22.440011978149414,0.7626259922981262,22.471879959106445,0.3188849985599518,21.094406127929688,0.11760599911212921,20.1027889251709,0.058152999728918076,19.611003875732422,0.060416001826524734
